id,name,address,lat,lon
92,S30 - San Pablo,San Pablo 1350,-33.4344,-70.65666
98,I01 - Metro Hospitales,Av. Independencia 1084,-33.41786,-70.65614
100,I04 - Molino,Vivaceta 1052,-33.41845,-70.66366
102,I06 - Mall Independencia,Independencia 565,-33.42488,-70.6547
103,V40 - Paul Claudel,Paul Claudel 1501,-33.40511,-70.59719
105,V02 - Alonso de Cordova,Vitacura 3732,-33.402,-70.59432
109,V43 - Plaza Lo Castillo,Candelaria Goyenechea 3821,-33.40038,-70.59275
110,V06 - Vespucio / Vitacura,Av Vitacura 4325,-33.39909,-70.58824
112,V05 - Americo Vespucio / Las Hualtatas,Américo Vespucio 1165,-33.40398,-70.58616
118,V30 - Los Laureles,Los Laureles 1610,-33.40311,-70.58985
157,V29 - Los Cobres,Vitacura 6980,-33.38841,-70.56776
165,S36 - Fantasilandia,Tupper 2098,-33.45867,-70.66369
167,S39 - Metro Parque Almagro,Lord Cochrane 499,-33.45133,-70.6506
168,S46 - Metro ULA,Libertador Bernardo O'Higgins 2825,-33.44922,-70.67254
190,N10 - Metro Plaza Egaña,Plaza Egaña 68,-33.45261,-70.57101
191,N05 - Irarrazaval / Hamburgo,Hamburgo 110,-33.45391,-70.57602
200,N01 - Irarrazaval / Agustin Vigorena,Agustín Vigorena 108,-33.45539,-70.58643
201,N12 - Plaza Nunoa,"Manuel de Salas 70, esquina nororiente de la Plaza Ñuñoa, Junto a municipalidad",-33.45457,-70.59325
202,N07 - Jose Luis Araneda / Capitan Orella,José Luis Araneda 205,-33.45252,-70.6014
203,N13 - Ricardo Lyon / Hernan Cortes,Ricardo Lyon 2801,-33.44673,-70.60251
210,N11 - Metro Simon Bolivar,Av. Ossa 750,-33.44624,-70.57212
211,N06 - Metro Nunoa,Irarrázaval 2470,-33.45395,-70.60567
212,N09 - Metro Irarrazaval,"San Eugenio 61, en Isla entre San Eugenio y Bustamante, llegando a Irarrázaval desde el sur.",-33.45285,-70.62822
213,N08 - Manuel Montt / Union Literaria,Manuel Montt 2219,-33.448,-70.61342
214,N04 - Hospital Carabineros,Antonio Varas 2541,-33.45057,-70.60982
215,N03 - Club Nunoa,Simón Bolívar 4503,-33.44852,-70.58293
232,SJ06 - Metro Camino Agricola,Vicuña Mackenna 5939,-33.49152,-70.61784
