id,system,brand,name,address.str,address.lat,address.lon
214,11,bike_itau,N04 - Hospital Carabineros,Antonio Varas 2541,"-33,45057","-70,60982"
215,11,bike_itau,N03 - Club Nunoa,Simón Bolívar 4503,"-33,44852","-70,58293"
232,11,bike_itau,SJ06 - Metro Camino Agricola,Vicuña Mackenna 5939,"-33,49152","-70,61784"
235,11,bike_itau,SJ04 - Metro Rodrigo de Araya,Vicuña Mackenna 2935,"-33,47828","-70,62224"
237,11,bike_itau,P31 - Estación Canal 13,Alcalde Dávalos 124,"-33,42833","-70,62731"
238,11,bike_itau,N14 - Plaza Augusto D'Halmar,Hamburgo 1875,"-33,43777","-70,57802"
267,11,bike_itau,V39 - Pedro Canisio,Kennedy Lateral 5336,"-33,40023","-70,57790"
269,11,bike_itau,P36 - Carlos Antúnez / Barros Errázuriz,Carlos Antúnez 1831,"-33,42740","-70,61389"
281,11,bike_itau,P46 - Román Díaz,Roman Diaz 357,"-33,43368","-70,62082"
282,11,bike_itau,P34 - Punta Arenas,Punta Arenas 19,"-33,43271","-70,63012"
285,11,bike_itau,S08 - Marcoleta / San Isidro,Marcoleta 564,"-33,44378","-70,64443"
286,11,bike_itau,N02 - Jose Pedro Alessandri / Irarrazabal,José Pedro Alessandri 1,"-33,45500","-70,59832"
287,11,bike_itau,S13 - Universidad Católica,Carabineros de Chile 288,"-33,44066","-70,63956"
288,11,bike_itau,S044 - Plaza Manuel Rodríguez,Abdon Cifuentes 259,"-33,45153","-70,66563"
290,11,bike_itau,P39 - Seminario,8 Seminario,"-33,43668","-70,63078"
291,11,bike_itau,P38 - Québec,Quebec 575,"-33,43613","-70,62588"
292,11,bike_itau,P48 - Parque de las Esculturas Poniente,Av Santa Maria / Pedro de Valdivia Nte,"-33,42088","-70,61499"
293,11,bike_itau,P43 - Los Españoles,Mons Carlos Casanueva / Sta Maria,"-33,42124","-70,61692"
294,11,bike_itau,P47 - Ibis Providencia,Av Providencia 1275,"-33,42942","-70,62126"
295,11,bike_itau,P50 - Las Esculturas Oriente,Padre Letelier / Av Santa María,"-33,41924","-70,61181"
296,11,bike_itau,P56 - Ambasciata,Clemente Fabres 1099,"-33,44172","-70,61800"
297,11,bike_itau,S24 - Parque de los Reyes,Pdte Balmaceda 2200,"-33,42922","-70,66931"
298,11,bike_itau,P59 - Los Estanques,Los Estanques 1995,"-33,43514","-70,60871"
299,11,bike_itau,P42 - Lota / Tobalaba,Lota 2864,"-33,42164","-70,59732"
300,11,bike_itau,S32 - Gorbea,Gorbea 1727,"-33,45174","-70,65962"
301,11,bike_itau,S37 - FAU,Marcoleta 260,"-33,44162","-70,63841"
302,11,bike_itau,S40 - Erasmo Escala,Erasmo Escala 2402,"-33,44523","-70,66804"
303,11,bike_itau,S41 - Fanor Velasco,Fanor Velasco 8,"-33,44539","-70,65931"
304,11,bike_itau,S42 - Av. Brasil,Av Brasil 799,"-33,43490","-70,66492"
305,11,bike_itau,S43 - Blas Cañas,Blas Cañas 476,"-33,44508","-70,64251"
307,11,bike_itau,S45 - Cueto,Cueto 1098,"-33,43255","-70,67319"
308,11,bike_itau,S47 - Marín / Carmen,Marín 499,"-33,44746","-70,64206"
309,11,bike_itau,S48 - Angamos,Angamos 299,"-33,44663","-70,63861"
310,11,bike_itau,S50 - Gral. Jofré,Gral. Jofré 306,"-33,44523","-70,63678"
311,11,bike_itau,S52 - Argomedo,Argomedo 11,"-33,44889","-70,63220"
312,11,bike_itau,S54 - Plaza Ercilla,Ejército Libertador esquina Blanco Encalda,"-33,45676","-70,65988"
313,11,bike_itau,P40 - Bustamante,Gral Bustamante 302,"-33,44518","-70,63106"
314,11,bike_itau,P58 - Unidad Vecinal Providencia,Antonio Varas 169,"-33,42911","-70,61696"
317,11,bike_itau,N15 - Dublé Almeyda,Fernández Concha 72,"-33,45380","-70,62174"
318,11,bike_itau,P07 - Eduardo de La Barra,Eduardo de La Barra 1482,"-33,44532","-70,61199"
319,11,bike_itau,P35 - José Manuel Cousiño,José Manuel Cousiño 2099,"-33,43521","-70,59106"
320,11,bike_itau,P57 - Galvarino Gallardo,Galvarino Gallardo 2187,"-33,42877","-70,60726"
321,11,bike_itau,P60 - Suecia / Carmen Sylva,Suecia 513,"-33,42550","-70,60630"
322,11,bike_itau,P54 - Seminario / Rancagua,Seminario 93,"-33,44074","-70,63002"
323,11,bike_itau,S33 - Zenteno,Zenteno 772,"-33,45521","-70,65106"
324,11,bike_itau,S31- Raulí,Rauli 600,"-33,44971","-70,63618"
325,11,bike_itau,S38 - Vicaría,Erasmo Escala 1822,"-33,44432","-70,66204"
326,11,bike_itau,S35 - José Miguel Carrera,Almirante Hurtado 2022,"-33,45429","-70,66289"
